brushes,toothbrush,teeth
(1151.0, 269.0)
(1203.0, 259.0)
(1235.0, 263.0)
(1254.0, 245.0)
(1283.0, 252.0)
(1308.0, 287.0)
(1348.0, 505.0)
(1356.0, 596.0)
(1343.0, 747.0)
(1313.0, 821.0)
(1290.0, 901.0)
(1259.0, 970.0)
(1205.0, 1045.0)
(321.0, 1044.0)
(317.0, 407.0)
(319.0, 1.0)
(580.0, 4.0)
(595.0, 42.0)
(595.0, 47.0)




brushes,brushing
(1136.0, 470.0)
(1193.0, 452.0)
(1225.0, 460.0)
(1239.0, 493.0)
(1206.0, 517.0)
(1160.0, 533.0)
(1131.0, 530.0)
(1118.0, 491.0)
(1137.0, 466.0)
(1141.0, 466.0)




hair
(631.0, 138.0)
(593.0, 190.0)
(572.0, 256.0)
(550.0, 295.0)
(523.0, 294.0)
(513.0, 207.0)
(498.0, 162.0)
(486.0, 141.0)
(418.0, 166.0)
(405.0, 203.0)
(357.0, 264.0)
(342.0, 367.0)
(321.0, 396.0)
(321.0, 3.0)
(533.0, 3.0)
(578.0, 9.0)
(622.0, 89.0)
(637.0, 145.0)
(631.0, 146.0)
(631.0, 146.0)




hand,hands
(655.0, 485.0)
(734.0, 542.0)
(786.0, 587.0)
(840.0, 674.0)
(841.0, 767.0)
(787.0, 821.0)
(662.0, 749.0)
(609.0, 693.0)
(594.0, 607.0)
(578.0, 565.0)
(599.0, 508.0)
(646.0, 487.0)
(659.0, 488.0)
(659.0, 488.0)




hand,hands
(952.0, 528.0)
(950.0, 566.0)
(981.0, 579.0)
(1026.0, 578.0)
(1067.0, 556.0)
(1091.0, 539.0)
(1105.0, 524.0)
(1080.0, 483.0)
(1039.0, 483.0)
(984.0, 498.0)
(951.0, 530.0)
(951.0, 537.0)




hand,hands
(628.0, 247.0)
(681.0, 282.0)
(729.0, 279.0)
(747.0, 269.0)
(762.0, 164.0)
(738.0, 132.0)
(669.0, 77.0)
(640.0, 64.0)
(610.0, 89.0)
(625.0, 124.0)
(637.0, 169.0)
(628.0, 249.0)
(628.0, 249.0)







